Method,Name,Error,Occurrences
GET,/api/events [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/events [GET]'),2
GET,/api/equipment [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/equipment [GET]'),2
GET,/api/tournaments [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/tournaments [GET]'),1
GET,/api/equipment/issues [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/equipment/issues [GET]'),1
GET,/auth/isAuth [GET],HTTPError('500 Server Error: Internal Server Error for url: /auth/isAuth [GET]'),2
POST,/auth/login,HTTPError('500 Server Error: Internal Server Error for url: /auth/login'),159
GET,/api/teams [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/teams [GET]'),1
