Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/equipment [GET],123,2,37,81.77878914651275,29.16264500527177,725.2571450007963,85161.46341463414,4.239655561068,0.06893748879785366,37,43,52,56,81,550,700,700,730,730,730
POST,/api/equipment [POST],2,0,42.35447300015949,44.781360502383905,42.35447300015949,47.20824800460832,74.0,0.06893748879785366,0.0,47,47,47,47,47,47,47,47,47,47,47
GET,/api/equipment/issues [GET],28,1,32,86.86119228670057,23.959958998602815,725.601046004158,35216.46428571428,0.9651248431699512,0.03446874439892683,33,36,60,64,84,700,730,730,730,730,730
GET,/api/events [GET],110,2,28,66.18014437289358,21.15837600285886,740.117998997448,4422.490909090909,3.7915618838819514,0.06893748879785366,29,35,41,48,63,180,720,740,740,740,740
GET,/api/members [GET],31,0,32,59.09378128971213,25.7737259962596,734.4125529998564,44143.41935483871,1.0685310763667317,0.0,32,38,43,46,57,80,730,730,730,730,730
GET,/api/performance-logs [GET],19,0,28,133.4830339474138,22.386008997273166,723.9773239998613,355.0,0.6549061435796097,0.0,28,36,72,74,660,720,720,720,720,720,720
GET,/api/teams [GET],59,1,29,57.810853627092065,22.33424199948786,734.3068359987228,18409.949152542373,2.033655919536683,0.03446874439892683,29,31,44,46,53,76,700,730,730,730,730
GET,/api/tournaments [GET],74,1,33,99.89278085098753,25.859366003714968,733.5964390003937,62853.0,2.550687085520585,0.03446874439892683,33,39,48,52,82,730,730,730,730,730,730
POST,/api/tournaments [POST],1,0,726.6076059968327,726.6076059968327,726.6076059968327,726.6076059968327,76.0,0.03446874439892683,0.0,730,730,730,730,730,730,730,730,730,730,730
GET,/auth/isAuth [GET],137,2,3,3.6456534451206832,1.5575389988953248,65.52910400205292,92.93430656934306,4.7222179826529755,0.06893748879785366,3,3,3,4,5,6,9,18,66,66,66
POST,/auth/login,200,159,500.0,524.0785936301108,146.5699590044096,1545.6990179955028,41.9,6.893748879785366,5.480530359429366,510,580,620,640,940,1200,1400,1500,1500,1500,1500
,Aggregated,784,168,35,179.94012106763486,1.5575389988953248,1545.6990179955028,24338.304846938776,27.023495608758633,5.790749059019707,36,57,250,410,610,730,1000,1200,1500,1500,1500
