Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/audit-log [GET],8,0,5,5.422311998700025,4.125254999962635,8.88958200084744,38738.625,0.27557916461084114,0.0,5,5,6,6,9,9,9,9,9,9,9
GET,/api/equipment [GET],115,3,36,71.89403428694831,28.550461000122596,698.0901360002463,83239.50434782609,3.9614504912808415,0.10334218672906542,36,41,47,54,75,390,670,700,700,700,700
POST,/api/equipment [POST],8,0,43,47.37692499838886,42.22481999750016,63.35588499496225,74.0,0.27557916461084114,0.0,45,48,52,52,63,63,63,63,63,63,63
GET,/api/equipment/issues [GET],24,0,31,61.95317825040547,26.22446700115688,648.1438350019744,36520.0,0.8267374938325234,0.0,31,32,47,52,54,86,650,650,650,650,650
GET,/api/events [GET],104,2,29,61.31967581747561,12.013757004751824,674.5851279993076,4417.788461538462,3.582529139940935,0.06889479115271029,29,35,41,46,64,79,630,660,670,670,670
GET,/api/members [GET],75,0,33,102.99295087975527,25.41365300567122,696.4556530001573,62355.013333333336,2.5835546682266357,0.0,33,36,48,52,650,650,690,700,700,700,700
GET,/api/performance-logs [GET],13,0,29,34.01163053954056,22.90382600040175,70.89470600476488,355.0,0.44781614249261686,0.0,29,36,40,43,44,71,71,71,71,71,71
GET,/api/teams [GET],45,1,33,82.1719844888624,22.886865001055412,687.3372030022438,18311.31111111111,1.5501328009359814,0.03444739557635514,33,43,56,66,89,650,690,690,690,690,690
GET,/api/tournaments [GET],63,0,33,46.41489687318902,25.696411001263186,663.9719060040079,62550.19047619047,2.170185921310374,0.0,33,36,41,46,53,59,71,660,660,660,660
POST,/api/tournaments [POST],12,0,53,105.07689658516028,43.5101909970399,656.4233070021146,76.0,0.4133687469162617,0.0,54,54,74,74,75,660,660,660,660,660,660
GET,/auth/isAuth [GET],108,3,3,4.543487935599707,1.604085999133531,80.03900299809175,91.97222222222223,3.7203187222463554,0.10334218672906542,3,3,4,4,5,7,14,70,80,80,80
POST,/auth/login,150,109,540.0,630.3858727730889,158.17962100118166,1641.098318999866,48.74666666666667,5.167109336453271,3.7547661178227103,550,670,740,840,1300,1400,1600,1600,1600,1600,1600
,Aggregated,725,118,35,176.07218081660466,1.604085999133531,1641.098318999866,28528.335172413794,24.97436179285748,4.064792678009907,35,49,84,340,650,740,1300,1400,1600,1600,1600
