Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/audit-log [GET],3,0,5,5.399604332827342,4.850207995332312,6.176996001158841,38803.666666666664,0.10332888360995196,0.0,5,5,6,6,6,6,6,6,6,6,6
GET,/api/equipment [GET],110,0,35,66.02887918184437,29.40467800362967,640.5430390004767,82933.41818181818,3.7887257323649055,0.0,35,39,45,54,64,330,530,570,640,640,640
POST,/api/equipment [POST],1,0,47.5732600025367,47.5732600025367,47.5732600025367,47.5732600025367,74.0,0.03444296120331732,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/api/equipment/issues [GET],36,0,28,50.02311530531895,25.789646002522204,638.852151001629,36520.0,1.2399466033194235,0.0,29,31,35,40,55,74,640,640,640,640,640
GET,/api/events [GET],62,0,28,66.2800885804773,22.200753002834972,662.7882649991079,4504.0,2.135463594605674,0.0,28,31,37,40,54,520,570,660,660,660,660
GET,/api/members [GET],39,0,34,81.28150179497122,26.07683200039901,662.6048430043738,64575.53846153846,1.3432754869293755,0.0,34,37,45,50,71,640,660,660,660,660,660
GET,/api/performance-logs [GET],11,0,41,142.65245627162088,22.810431000834797,638.3112719995552,355.0,0.37887257323649054,0.0,41,45,53,53,620,640,640,640,640,640,640
GET,/api/teams [GET],87,0,28,55.57647112662631,22.657286004687194,521.202905998507,18727.0,2.996537624688607,0.0,28,30,31,33,53,430,470,520,520,520,520
GET,/api/tournaments [GET],36,0,32,64.84658541679285,27.811512001790106,665.8974419988226,58968.27777777778,1.2399466033194235,0.0,32,33,38,41,52,490,670,670,670,670,670
POST,/api/tournaments [POST],9,0,46,49.16323544441386,42.17090000020107,63.035528000909835,76.0,0.3099866508298559,0.0,46,48,53,56,63,63,63,63,63,63,63
GET,/auth/isAuth [GET],64,0,3,3.0293691415863577,1.5812029960216023,7.999720000952948,94.0,2.2043495170123086,0.0,3,3,4,4,4,5,6,8,8,8,8
POST,/auth/login,50,18,510.0,608.8906646597025,245.40342300315388,1222.555314998317,86.08,1.722148060165866,0.6199733016597118,560,780,870,960,1100,1200,1200,1200,1200,1200,1200
,Aggregated,508,18,32,110.68270483276395,1.5812029960216023,1222.555314998317,33698.01377952756,17.4970242912852,0.6199733016597118,32,37,46,54,430,640,930,1100,1200,1200,1200
