Method,Name,Error,Occurrences
GET,/api/equipment [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/equipment [GET]'),1
POST,/api/registrations [POST],HTTPError('409 Client Error: Conflict for url: /api/registrations [POST]'),311
POST,/auth/login,HTTPError('500 Server Error: Internal Server Error for url: /auth/login'),27
POST,/auth/login,HTTPError('429 Client Error: Too Many Requests for url: /auth/login'),279
