Method,Name,Error,Occurrences
GET,/api/events [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/events [GET]'),2
GET,/api/equipment [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/equipment [GET]'),3
GET,/auth/isAuth [GET],HTTPError('500 Server Error: Internal Server Error for url: /auth/isAuth [GET]'),3
POST,/auth/login,HTTPError('500 Server Error: Internal Server Error for url: /auth/login'),109
GET,/api/teams [GET],HTTPError('500 Server Error: Internal Server Error for url: /api/teams [GET]'),1
